cns,nome,municipio,uf,email,telefone,endereco,bairro,cep,status,natureza
000992,Cartório Extrajudicial de Jordão - AC,Jordão,AC,cartorio.jordao.acre@gmail.com,55991310085,"Rua Francisco Djalma da Silva, 11",CENTRO,69975000,Ativo,Notas | Registro Civil das Pessoas Naturais | Protesto de Títulos | Registro de Imóveis | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas
001198,Serventia de Registro de Imóveis da Comarca de Mãncio Lima,Mâncio Lima,AC,serei1ml@tj.ac.gov.br,6833431039,"Rua Joaquim Generoso de Oliveira, 160",Centro,69900000,Inativo,Registro de Imóveis
153924,Ofício Único da Comarca de Mâncio Lima/AC - Cartório Cavalcante,Mâncio Lima,AC,ffmmlac@hotmail.com,68999005603,Avenida Japiim,Centro,69990000,Ativo,Registro Civil das Pessoas Naturais | Notas | Protesto de Títulos | Registro de Imóveis | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas
001057,Serventia Extrajudicial da Comarca de Manoel Urbano,Manoel Urbano,AC,cartoriomanoelurbano@gmail.com,68992526165,"Rua Mendes Araújo, 33",Centro,69950000,Ativo,Registro de Imóveis | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas | Registro Civil das Pessoas Naturais | Notas | Protesto de Títulos
001206,SERVENTIA DE REGISTRO DE IMÓVEIS DA COMARCA DE MANUEL URBANO,Manoel Urbano,AC,,6836111114,"Rua Mendes Araújo, s/n",São José,69950000,Inativo,Registro de Imóveis
000844,ÚNICO OFÍCIO DE MARECHAL THAUMATURGO -,Marechal Thaumaturgo,AC,unicooficiomarechal@hotmail.com,68992611499,Rua Luiz Martins,Centro,69983000,Ativo,Notas | Registro Civil das Pessoas Naturais | Protesto de Títulos | Registro de Imóveis | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas
001248,Serventia de Registro de imóveis de Plácido de Castro,Plácido de Castro,AC,serei1pc@tj.ac.gov.br,6832371205,"Avenida Diamantino Augusto de Macedo, 1079",centro,69928000,Inativo,Registro de Imóveis
153858,Serventias Extrajudiciais da Comarca de Plácido de Castro,Plácido de Castro,AC,atendimento.certidao@hotmail.com,6832372146,Rua João Daniel Damasceno,Rapirran,69928000,Ativo,Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas | Registro Civil das Pessoas Naturais | Notas | Protesto de Títulos | Registro de Imóveis
001214,Serventia de Registro de Imóveis da Comarca de Porto Acre,Porto Acre,AC,serei1pa@tj.ac.gov.br,6832331040,"Rua Alfredo Gama, 120",Livramento,69921000,Inativo,Registro de Imóveis
153932,Serventia Extrajudicial da Comarca de Porto Acre,Porto Acre,AC,atendimento@cartorioportoacre.com,68999186361,Rua Alameda das Falcatas,Vila do Incra,69927000,Ativo,Registro de Imóveis | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas | Registro Civil das Pessoas Naturais | Notas | Protesto de Títulos
000919,Cartório Porto Walter,Porto Walter,AC,cartoriopwalter@gmail.com,68992551558,"RUA MAMED CAMELI, 370, Q 18, Lote 01",CENTRO,69982000,Ativo,Registro de Imóveis | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas | Registro Civil das Pessoas Naturais | Protesto de Títulos | Notas
000778,2º Ofício de Registro de Imóveis da Comarca de Rio Branco/AC,Rio Branco,AC,cartorio@segundori.com.br,6821023453,"Rua Manoel Rodrigues de Souza, nº 238",Bosque,69900451,Ativo,Registro de Imóveis
000851,1º Ofício do Registro de Imóveis da Comarca de Rio Branco,Rio Branco,AC,CRIRIOBRANCO@GMAIL.COM,68992836419,"AV. BRASIL, Nº 263",CENTRO,69900078,Ativo,Registro de Imóveis
153866,Serventia Extrajudicial da Comarca de Rodrigues Alves,Rodrigues Alves,AC,rodriguesalvescartorio@gmail.com,68992527271,"Rua Hugo Ca eiro, 139",Centro,69985000,Ativo,Protesto de Títulos | Registro de Imóveis | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas | Registro Civil das Pessoas Naturais | Notas
001131,Serventia Extrajudicial da Comarca de Sena Madureira,Sena Madureira,AC,cartoriosena@hotmail.com,6836123346,AVENIDA AVELINO CHAVES S/N,CENTRO,69940000,Inativo,Registro de Imóveis | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas | Registro Civil das Pessoas Naturais | Notas | Protesto de Títulos
001107,Serventia Extrajudicial da Comarca de Sena Madureira,Sena Madureira,AC,cartoriosena@hotmail.com,6836123346,AVENIDA AVELINO CHAVES S/N,CENTRO,69940000,Inativo,Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas | Registro Civil das Pessoas Naturais | Notas | Protesto de Títulos | Registro de Imóveis
153874,Serventia Extrajudicial da Comarca de Sena Madureira,Sena Madureira,AC,cartoriosena@gmail.com,68999053346,Rua Quintino Bocaiúva 884,CENTRO,69940000,Ativo,Protesto de Títulos | Registro de Imóveis | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas | Registro Civil das Pessoas Naturais | Notas
001255,Serventia de Registro de Imóveis de Senador Guiomard,Senador Guiomard,AC,serei1sg@tj.ac.gov.br,6832323740,Av. Castelo Branco,Centro,69925000,Inativo,Registro de Imóveis
153882,Serventia Extrajudicial da Comarca de Senador Guiomard,Senador Guiomard,AC,cartoriomartins.ac@hotmail.com,6832323569,"Av. Castelo Branco, 1418",Centro,69925000,Ativo,Registro de Imóveis | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas | Registro Civil das Pessoas Naturais | Notas | Protesto de Títulos
001461,SERVENTIA DO REGISTRO DE IMÓVEIS,Tarauacá,AC,,6834621314,"AV. ANTONIO FROTA, 370",CENTRO,69970000,Inativo,Registro de Imóveis
153890,Serventia Extrajudicial da Comarca de Tarauacá/AC,Tarauacá,AC,cartoriotk@gmail.com,6834622635,Rua Epaminondas Jacome,Centro,69970000,Ativo,Protesto de Títulos | Registro de Imóveis | Notas | Registro Civil das Pessoas Naturais | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas
000927,Serventia de Registro de Imóveis da Comarca de Xapuri,Xapuri,AC,,6835422521,"RUA JOÃO BARBOSA, 53",CENTRO,69930000,Inativo,Registro de Imóveis
153916,Serventias Extrajudiciais da Comarca de XAPURI,Xapuri,AC,cartorio-xapuri@hotmail.com,6835422092,"Rua Coronel Brandão, nº 336, Sala 04",Centro,69930000,Ativo,Notas | Protesto de Títulos | Registro de Imóveis | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas | Registro Civil das Pessoas Naturais
003293,Cartório Notarial e Registral do 1º Ofício,Água Branca,AL,aguabranca1cartorio@hotmail.com,82996271384,"Praça Matriz, Nº 05, Empresarial FR, SALA 05",Centro,57490000,Ativo,Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas | Notas | Protesto de Títulos | Registro de Imóveis
002527,Cartório do 2º Ofício de Anadia,Anadia,AL,cartorio2anadia@gmail.com,82996007925,Rua São Felix,Centro,57660000,Ativo,Notas | Registro de Imóveis
002014,ALAGOAS SERVIÇOS DO 1º OFICIO REGISTRO DE IMOVEIS,Arapiraca,AL,cartorio1oara_al@hotmail.com,8235212570,"RUA LUCIO ROBERTO, 43",CENTRO,57300360,Ativo,Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas | Notas | Registro de Imóveis
002493,Cartório do 1º Ofício de Registro Geral de Imóveis e Notas,Atalaia,AL,cartorioimoveisenotas.atalaia@gmail.com,82982344040,"Loteamento Santa Inês, AL 210 - Sala 01",José Paulino,57690000,Ativo,Notas | Registro de Imóveis
003780,Serviço Notarial e Registral,Batalha,AL,cartoriobat@gmail.com,82996065992,Rua Manoel de Farias,Centro,57421650,Ativo,Notas | Protesto de Títulos | Registro de Imóveis | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas
002097,Cartório de Notas e do Registro Geral de Imóveis,Belém,AL,oficiounicobelem@gmail.com,82987456633,Rua do Comércio,Centro,57630000,Ativo,Notas | Protesto de Títulos | Registro de Imóveis | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas
004101,Único Ofício Notarial e Registral,Boca da Mata,AL,cartoriobocadamata@gmail.com,82996568322,"Rua Maria Stella de Amorim Tenório, nº 96",Centro,57680000,Ativo,Registro de Imóveis | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas | Notas | Protesto de Títulos
003202,Cartório do Único Ofício de Branquinha,Branquinha,AL,cartoriounicooficiobranquinha@gmail.com,82981901012,"Rua Dr. Prado Omena, s/n, Setor 02, Qd. 03",Centro,57830000,Ativo,Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas | Notas | Protesto de Títulos | Registro de Imóveis
003285,CARTÓRIO DO ÚNICO OFÍCIO DE CACIMBINHAS,Cacimbinhas,AL,cacimbinhascartorio@gmail.com,82993463149,"PRAÇA 19 DE SETEMBRO, No 02,",CENTRO,57570000,Ativo,Notas | Protesto de Títulos | Registro de Imóveis | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas
003145,CARTÓRIO DO ÚNICO OFICIO DA COMARCA DE CAJUEIRO,Cajueiro,AL,cartoriounicooficiocajueiro@gmail.com,41999048830,AV. ANTÔNIO DE MIRANDA CABRAL,CENTRO,57770000,Ativo,Notas | Registro de Imóveis | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas | Registro de Contratos Marítimos | Protesto de Títulos
004093,ÚNICO OFÍCIO NOTARIAL E REGISTRAL DE CAMPO ALEGRE,Campo Alegre,AL,uonrcampoalegre@gmail.com,82996556633,"RUA DO COMÉRCIO, 60-A",CENTRO,57252092,Ativo,Notas | Protesto de Títulos | Registro de Imóveis | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas
001958,Alagoas Cartório 1º ofício Reg. de Imóv. Títulos,Capela,AL,cartoriocapela@gmail.com,82996772627,Rua Francisco Avelino,centro,57780000,Ativo,Notas | Registro de Imóveis | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas
003863,SERVIÇO NOTARIAL E REGISTRAL DE COLONIA LEOPOLDINA,Colônia Leopoldina,AL,colonia.registrodeimoveis@gmail.com,82991774166,"PRAÇA DOM PEDRO II, 46",CENTRO,57975000,Ativo,Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas | Notas | Registro de Contratos Marítimos | Protesto de Títulos | Registro de Imóveis
001768,1º SERVIÇO NOTARIAL E REGISTRAL DE CORURIPE,Coruripe,AL,cartoriocoruripe@gmail.com,82991021963,"Rua Lindolfo Simões, 270",CENTRO,57230000,Ativo,Notas | Protesto de Títulos | Registro de Imóveis | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas
003210,Cartório do Único Ofício de Craíbas,Craíbas,AL,cartuocraibasal@gmail.com,82933002980,"Rua Pedro Gama, nº 16",Centro,57320000,Ativo,Registro de Imóveis | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas | Notas
003905,SERVIÇO NOTARIAL E REGISTRAL DO 1º OFICIO DA COMARCA DE DELMIRO GOUVEIA - AL,Delmiro Gouveia,AL,cartoriodelmirogouveia@gmail.com,82999897177,"RUA TREZE DE MAIO, N.º 310",CENTRO,57480000,Ativo,Protesto de Títulos | Registro de Imóveis | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas | Notas
003152,Cartório do Único Ofício,Dois Riachos,AL,oficiounicodoisriachos@gmail.com,82988646400,"Av. Miguel Vieira de Novais, 112",Centro,57560000,Ativo,Protesto de Títulos | Notas | Registro de Imóveis | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas
003913,CARTÓRIO DO ÚNICO OFÍCIO,Feira Grande,AL,cartoriodounicooficiodefgal@gmail.com,82992054793,"AVENIDA TEIXEIRA DE FREITAS, 14",CENTRO,57340000,Ativo,Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas | Notas | Protesto de Títulos | Registro de Imóveis
003822,Serviço Notarial e Registral,Flexeiras,AL,cartoriodeflexeiras@gmail.com,82994262183,Rua Cândido Lamenha Lins,Centro,57995000,Ativo,Protesto de Títulos | Registro de Imóveis | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas | Notas
003772,SERVIÇO NOTARIAL E REGISTRAL,Girau do Ponciano,AL,cartorio.girau@hotmail.com,82996130041,"RUA MANOEL JOÃO NETO, 337",CENTRO,57360000,Ativo,Registro de Imóveis | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas | Notas | Protesto de Títulos
003103,"Cartório do Registro Civil das Pessoas Jurídicas, Registro de Títulos e Documentos, Registro de Imóveis, Tabelionato de Notas e Tabelionato de Protesto de Títulos de Ibateguara - AL",Ibateguara,AL,administracao@cartorioibateguara.com,82994277000,"Rua Cel. Carlos Lyra, 92A",Centro,57890000,Ativo,Notas | Protesto de Títulos | Registro de Imóveis | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas
004051,"TABELIONATO DE NOTAS, PROTESTO E REGISTRO PUBLICOS DE IMÓVEIS, TITULOS, DOCUMENTOS E CIVIL DE PESSOAS JURÍDICAS DE IGACI - ALAGOAS",Igaci,AL,cartorioigacioficial@gmail.com,82999809212,"Rua Maria Sampaio, nº128",Centro,57620000,Ativo,Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas | Protesto de Títulos | Registro de Imóveis | Notas
003350,IGREJA NOVA CARTÓRIO UNICO OFICIO,Igreja Nova,AL,ADMINISTRACAO@CARTORIOIGREJANOVA.COM.BR,82982202201,"AVENIDA SANTOS FILHO, N° 152-B",CENTRO,57280000,Ativo,Notas | Protesto de Títulos | Registro de Imóveis | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas | Registro de Contratos Marítimos
003087,Cartório do Único Ofício,Jacaré dos Homens,AL,cartoriojacaredoshomens@gmail.com,82982000316,"Praça José da Silva Teófilo, 295",Centro,57430000,Ativo,Notas | Registro de Imóveis | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas | Protesto de Títulos
003343,CARTÓRIO DO ÚNICO OFÍCIO DE JOAQUIM GOMES,Joaquim Gomes,AL,cartoriojgomes@outlook.com,82988712351,"RUA MANOEL JALBAS, 12",Centro,57980000,Ativo,Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas | Notas | Protesto de Títulos | Registro de Imóveis
003368,Junqueiro Cartório do Único Ofício,Junqueiro,AL,cartoriodejunqueiro@hotmail.com,82991283313,Rua Joaquim Ferreira da Costa,Centro,57270067,Ativo,Protesto de Títulos | Registro de Imóveis | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas | Notas
003236,Cartório do Único Ofício de Lagoa da Canoa,Lagoa da Canoa,AL,cartoriolagoadacanoa@gmail.com,82987024238,"Avenida Nossa Senhora da Conceição, n.º 158",Centro,57330000,Ativo,Notas | Registro de Imóveis | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas
003178,Cartório do Único Ofício,Limoeiro de Anadia,AL,cartorio1_limoeiro@hotmail.com,82981361452,Rua Major Luiz Carlos S/n,Centro,57260000,Ativo,Notas | Protesto de Títulos | Registro de Imóveis | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas
001735,1º CARTORIO DE REGISTRO DE IMOVEIS E HIPOTECAS DE MACEIÓ,Maceió,AL,1rimaceio@1rimaceio.com.br,8232234425,"PRAÇA DOS PALMARES, Nº 36, 6º ANDAR",CENTRO,57020150,Ativo,Registro de Imóveis
001891,3 Registro de Imóveis e Distribuição de Títulos para Protesto de Maceio,Maceió,AL,stda@uol.com.br,8232212185,"Dr.Luiz Pontes de Miranda, 36 - Loja 01 , Térreo - Ed. Delmi",Centro,57020150,Ativo,Registro de Imóveis | Registro de Distribuição
001925,ALAGOAS 2º CARTÓRIO DO REGISTRO GERAL DE IMÓVEIS E HIPOTECAS,Maceió,AL,segundocartorio.imoveismcz@hotmail.com,8232212052,Avenida da Paz,Centro,57017020,Ativo,Registro de Imóveis
003798,Cartório do Único oficio Edson Amaral (Serviço Notarial e Registral),Major Isidoro,AL,oficiounicomajorizidoro@gmail.com,85999911197,"Rua Santo Antônio, nº 35",Centro,57580000,Ativo,Notas | Protesto de Títulos | Registro de Imóveis | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas
001743,Cartório do 1º Ofício de Notas e Registros de Imóveis da Comarca de Maragogi,Maragogi,AL,cartorio1oficiomaragogial@gmail.com,82993320641,"Rua Jangadeiros, 19",Carvão,57955000,Ativo,Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas | Notas | Registro de Imóveis | Protesto de Títulos
003806,SERVIÇO NOTARIAL E REGISTRAL DA COMARCA DE MARAVILHA-AL,Maravilha,AL,cartoriomaravilha@hotmail.com,82999718729,"RUA NOSSA SENHORA DE FÁTIMA, 66",CENTRO,57520000,Ativo,Registro de Imóveis | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas | Notas | Protesto de Títulos | Registro de Distribuição
003871,SERVICO NOTARIAL E REGISTRAL DA COMARCA DE MARECHAL DEODORO/AL,Marechal Deodoro,AL,contato@cartoriomarechal.com.br,8232631951,Rua Doutor Ladislau Neto,Centro,57160000,Ativo,Registro de Imóveis | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas | Notas | Protesto de Títulos
003400,"CARTÓRIO DE REGISTRO CIVIL DAS PESSOAS JURÍDICAS, REGISTRO DE IMÓVEIS, DE TÍTULOS E DOCUMENTOS, TABELIONATO DE NOTAS E DE PROTESTO DE TÍTULOS DE MARIBONDO/AL",Maribondo,AL,ritdpjnotaseprotestomaribondo@gmail.com,82996746846,"Av. Senador A on de Mello, 340B",CENTRO,57670000,Ativo,Notas | Protesto de Títulos | Registro de Imóveis | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas
003384,Notas e Registro do Unico Oficio,Mata Grande,AL,cartorio.mtg@gmail.com,82981705006,"Rua Eustáquio Malta, 130",Centro,57540000,Ativo,Protesto de Títulos | Registro de Imóveis | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas | Notas
001974,"Registro de Imóveis, Títulos e Documentos e Civil de Pessoas Jurídicas, Tabelionato de Notas e Protesto de Títulos de Matriz de Camaragibe/AL",Matriz de Camaragibe,AL,cartoriodematrizdecamaragibe@gmail.com,82996880157,RUA OUVIDOR JOSE DE MENDONÇA S/N,CENTRO,57910000,Ativo,Registro de Imóveis | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas | Notas | Protesto de Títulos
003244,CARTORIO DO UNICO OFICIO DE MESSIAS,Messias,AL,cartoriodemessias@gmail.com,82993163746,"RUA SANTO ANTONIO, 05",CENTRO,57990000,Ativo,Protesto de Títulos | Registro de Imóveis | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas | Notas
003038,"Oficial de Registro de Imóveis, Títulos e Documentos e Civil de Pessoas Jurídicas e Tabelião de Notas de Monteirópolis",Monteirópolis,AL,cartoriomonteiropolis@gmail.com,82988037477,Rua Sete de Setembro,Centro,57440000,Ativo,Registro de Imóveis | Notas | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas
002030,Cartório 1 Ofício de Notas e Registro Imóveis,Murici,AL,cartorio1oficiomurici@yahoo.com,82999214429,"Rua Dom Bosco, 28 C",Campo Grande,57820000,Ativo,Notas | Registro de Imóveis | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas
003111,Cartório do Único Ofício,Novo Lino,AL,cartorionovolino@gmail.com,82991956350,Rua do Comércio,Centro,57970000,Ativo,Registro de Imóveis | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas | Notas | Protesto de Títulos
002089,CARTÓRIO DO ÚNICO OFÍCIO,Olho d'Água das Flores,AL,oaflorescartorio@gmail.com,82920018761,"Rua Cônego José Bulhões,",Centro,57442000,Ativo,Registro de Imóveis | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas | Notas | Protesto de Títulos
002113,CARTORIO DE NOTAS E REGISTROS GERAIS DE OLIVENÇA-AL,Olivença,AL,cartorionotaseregistrogerais@gmail.com,82988000939,"Rua Professor José Correia Bulhões, nº 06",Centro,57550000,Ativo,Registro de Imóveis | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas | Notas | Protesto de Títulos
003921,Serviço Notarial e Registral de Ouro Branco-AL,Ouro Branco,AL,jupbettarello@gmail.com,82988153668,"Rua do Comércio, nº 72",Centro,57525000,Ativo,Protesto de Títulos | Registro de Imóveis | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas | Notas
001867,2º Cartório Notarial e Registral de Palmeira dos Índios-AL,Palmeira dos Índios,AL,cartorionotarialeregistral@gmail.com,82996335904,RUA JOSÉ E MARIA PASSOS,CENTRO,57600030,Ativo,Registro de Imóveis | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas | Notas | Protesto de Títulos
001727,"1º OFÍCIO DE REGISTRO DE IMÓVEIS, TABELIONATO DE NOTAS E PROTESTO, EVERSON LORENZINI",Pão de Açúcar,AL,cartoriolorenzini@gmail.com,61992240993,"Travessa Mário Soares Vieira, Nº 65",Centro,57400000,Ativo,Registro de Imóveis | Notas | Protesto de Títulos
002071,"CARTORIO DE IMOVEIS, HIPOTECAS, TITULOS E DOCUMENTOS E NOTAS DA COMARCA DE PASSO DE CAMARAGIBE",Passo de Camaragibe,AL,cartoriodopassodecamaragibe@gmail.com,82982114444,"Rua Dr. Pedro da Cunha, Centro Empresarial Jair Medino, Sala nº 07",Centro,57930000,Ativo,Notas | Protesto de Títulos | Registro de Imóveis | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas
004077,"Único Ofício de Notas - Registro Geral de Imóveis e Hipoteca, Títulos e Documentos e Pessoas Jurídicas - Protesto de Títulos de Paulo Jacinto",Paulo Jacinto,AL,oficiounicodepaulojacinto@gmail.com,82999925296,"Travessa São Sebastião, 15",Centro,57740000,Ativo,Registro de Imóveis | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas | Notas | Protesto de Títulos
002485,CARTORIO DO 1º OFICIO DA COMARCA DE PENEDO-AL,Penedo,AL,cartorio1ofregistropenedo@gmail.com,82987087373,PRAÇA JÁCOME CALHEIROS,CENTRO,57200000,Ativo,Registro de Imóveis | Notas | Protesto de Títulos
003160,CARTÓRIO DO ÚNICO OFÍCIO,Piaçabuçu,AL,cartoriounico1@gmail.com,82991754495,"RUA MESTRE FRANCELINO, 256",CENTRO,57210000,Ativo,Protesto de Títulos | Registro de Imóveis | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas | Notas
003194,Cartorio do Unico Oficio da Comarca de Pilar,Pilar,AL,cartoriopilar@hotmail.com,8232653575,"Rua Luiz Ramos, 166",centro,57150000,Ativo,Protesto de Títulos | Registro de Imóveis | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas | Notas | Registro de Contratos Marítimos
003137,CARTÓRIO DO ÚNICO OFÍCIO,Pindoba,AL,cartoriodounicooficio@hotmail.com,82999665941,Rua do Comércio,Centro,57720000,Ativo,Protesto de Títulos | Registro de Imóveis | Registro de Títulos e Documentos | Registro Civil das Pessoas Jurídicas | Notas
